person_id,GP,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,from_year,to_year
100,343.0,5.314574329464946,0.3893333333333333,0.27925000000000005,0.7424166666666667,1.3266877637130803,0.9723411090224517,0.3569983932016128,0.1017247967131016,1989,1999
1000,785.0,6.290517617545056,0.4154166666666667,0.26966666666666667,0.68175,2.8599753278564255,1.2045048515170467,0.6726846679743023,0.2177060828737658,1996,2005
1002,101.0,1.9565756823821339,0.355,0.3405,0.47750000000000004,0.7326302729528535,1.0583126550868487,0.46505376344086025,0.12241521918941273,1996,1997
100263,1148.0,12.327505371608265,0.49774999999999997,0.2698125,0.8353124999999999,9.306202442474294,1.9167363003902702,0.6376906218175546,0.8688808971502961,1980,1993
1003,76.0,2.3876089324618737,0.4284,0.3856,0.7676000000000001,0.944553376906318,1.9416394335511982,0.23142701525054465,0.01917211328976035,1997,1999
1005,840.0,11.714060502479775,0.4189333333333333,0.3768666666666666,0.7532,3.8840675719419595,2.3284615024689077,0.95514587369112,0.5878001025041261,1992,2002
1006,1222.0,8.859649140201414,0.4455454545454545,0.06222727272727273,0.6419090909090909,5.315969715713803,1.332937936906957,0.5063478568553941,1.3165556848828674,1981,1998
1007,15.0,1.2666666666666666,0.348,0.0,0.75,0.6666666666666666,0.0,0.06666666666666667,0.13333333333333333,1993,1993
1008,541.0,11.598797227670307,0.4714444444444444,0.28355555555555556,0.8652222222222222,2.667219762410593,5.737012043312856,1.13611452698964,0.042599054130219444,1986,1994
101,600.0,9.851480242460996,0.4119,0.35609999999999997,0.8695999999999999,2.3726443966569533,5.8892688355938585,0.7748289685404323,0.048199450462862226,1986,1995
1010,151.0,2.4146341463414633,0.32625000000000004,0.27375,0.75975,0.6315352084972463,1.6029750196695516,0.5881884343036978,0.04984756097560976,1992,1995
101106,733.0,7.7178256697628,0.5015000000000001,0.1375,0.527375,7.684433223814494,1.9014198746074293,0.5555354577295756,1.327201757725898,2005,2018
101107,1130.0,9.638630446112444,0.44199999999999995,0.3287058823529411,0.8113529411764705,4.950448213190767,1.2562977515724842,0.7485891046061774,0.5286250279507575,2005,2019
101108,1246.0,17.37974474675521,0.46773684210526306,0.3663157894736842,0.8695263157894736,4.450390438188028,9.323671194499177,2.0284635584293196,0.16108895776403157,2005,2023
101109,1046.0,11.05413195844724,0.413625,0.3335,0.7915000000000001,2.8750269906374415,5.32147762136306,1.169415413314519,0.19603954336263815,2005,2018
101110,580.0,7.486106067686018,0.36310000000000003,0.3285,0.7112,2.7195131316674637,0.8807277385408231,0.4537270039184837,0.2326949929583222,2005,2014
101111,656.0,9.59162345775641,0.42127272727272724,0.32936363636363636,0.745090909090909,4.300214870108959,0.7574007072988244,0.47930350136488953,0.4824748330067774,2005,2015
101112,1013.0,7.80603304060981,0.4433529411764706,0.3575294117647059,0.8303529411764705,4.008760744200697,0.9404743866229297,0.45025208187968846,0.5093163156576326,2005,2018
101113,313.0,5.33423774021804,0.44670000000000004,0.1,0.7981999999999999,2.705228333472801,0.2406663956632043,0.13212492534458262,0.23717070225597553,2005,2011
101114,974.0,15.824552888063817,0.4374375,0.354875,0.81925,3.1305337126389956,8.078725564299944,0.9815023972548309,0.2318173410294727,2005,2016
101115,444.0,11.045112752923993,0.5104,0.02,0.6688,7.56470721046755,1.15599077602418,0.27572377490935285,1.4020880760965597,2005,2013
101117,34.0,1.1625,0.275,0.243,0.6,0.4208333333333333,0.3875,0.2125,0.0,2005,2006
101118,119.0,6.825607478596609,0.4415,0.41675,0.7225,4.04079129595434,0.9295905377427117,0.4536613088243523,0.39082731800123105,2005,2009
101119,307.0,9.437260472401434,0.4083333333333334,0.3425,0.7428333333333333,1.9224816255262118,1.2663476075248485,0.7629100893329204,0.24314223896014533,2005,2008
101120,353.0,4.66780674099795,0.382,0.2675,0.5609999999999999,2.0055194647352,0.9193011868202986,0.3930681122663285,0.23393972106544914,2005,2010
101121,377.0,5.6194538517531525,0.4776666666666667,0.322,0.8111666666666667,2.633702541813801,0.5213047155918575,0.3148062785845931,0.10959622597280826,2005,2010
101122,627.0,13.87139725074922,0.41133333333333333,0.35141666666666665,0.8349999999999999,4.187170957535104,1.5339539160921651,0.7589238382564996,0.6571109026446623,2005,2014
101123,688.0,8.611501232483846,0.4519285714285715,0.3284285714285714,0.7567142857142857,2.366365518492325,0.8048328690693072,0.4384901924791987,0.2564451776421628,2005,2018
101124,630.0,8.423168350578477,0.4699166666666666,0.08241666666666667,0.7425833333333333,3.494335530627408,0.702191775702341,0.4377413481795514,0.24076935199268698,2005,2012
101125,32.0,1.473809523809524,0.46399999999999997,0.0,0.65625,0.7847222222222222,1.1654761904761903,0.3843253968253968,0.0,2005,2006
101126,775.0,8.67692532895885,0.37476470588235294,0.3271176470588235,0.7241764705882353,1.7974258151583422,2.6271624079020843,0.7315584149970606,0.0596175753965566,2005,2015
101127,950.0,10.29752762035279,0.44773333333333337,0.2995333333333334,0.8643333333333334,2.7292865271652924,4.479023410353059,0.8112152114207443,0.10999556739070307,2005,2017
101128,607.0,7.093378391334496,0.4071666666666666,0.3482500000000001,0.7573333333333333,2.2487059569570214,1.2981823738721558,0.7621809448381209,0.6704675620670129,2005,2014
101129,380.0,6.786671130111227,0.40800000000000003,0.376125,0.7755000000000001,2.1306727652508766,2.022834923484333,0.6537466874920879,0.11846644729869374,2005,2010
101130,522.0,4.220891818002981,0.45309999999999995,0.125,0.6618,3.7249730963806855,0.44293748476189626,0.3959227659728117,0.430016843532556,2005,2012
